"delv_plt","material","ship_to","qty"
5435.64,"S18_1589","Herkku Gifts",42
4258.36,"S18_1589","Online Diecast Creations Co.",29
4032,"S18_1589","Muscle Machine Inc",40
4492.36,"S18_1589","Euro Shopping Channel",38
4161.38,"S18_1589","Collectable Mini Designs Co.",38
2508.66,"S18_1589","Mini Caravy",21
3374.88,"S18_1589","UK Collectables, Ltd.",24
5196.6,"S18_1589","L'ordine Souveniers",36
2604.52,"S18_1589","Signal Gift Stores",23
2936.8,"S18_1589","Handji Gifts& Co",20
3424.64,"S18_1589","Norway Gifts By Mail, Co.",32
2923.2,"S18_1589","Euro Shopping Channel",29
4489.76,"S18_1589","FunGiftIdeas.com",44
4849.24,"S18_1589","Motor Mint Distributors Inc.",44
5848.92,"S18_1589","Reims Collectables",36
2758.7,"S18_1589","Toys4GrownUps.com",49
1449.76,"S18_1589","Euro Shopping Channel",34
7048.14,"S18_1589","The Sharp Gifts Warehouse",59
5202.94,"S18_1589","Salzburg Collectables",37
5279.4,"S18_1662","Rovelli Gifts",36
6916.12,"S18_1662","Salzburg Collectables",43
2781.66,"S18_1662","Gift Ideas Corp.",21
5248,"S18_1662","Mini Creations Ltd.",32
6531.44,"S18_1662","Toys of Finland, Co.",38
5763.72,"S18_1662","Scandinavian Gift Ideas",43
6490.68,"S18_1662","Alpha Cognac",42
6004.8,"S18_1662","Double Decker Gift Stores, Ltd",32
7483.98,"S18_1662","Cruz & Sons Co.",42
5719.5,"S18_1662","Osaka Souveniers Co.",31
6954.08,"S18_1662","Collectable Mini Designs Co.",49
8160.3,"S18_1662","The Sharp Gifts Warehouse",45
6567.96,"S18_1662","Euro Shopping Channel",49
6724,"S18_1662","Collectables For Less Inc.",41
5747.85,"S18_1662","Norway Gifts By Mail, Co.",45
5676.84,"S18_1662","Bavarian Collectables Imports, Co.",36
7379.97,"S18_1662","Classic Gift Ideas, Inc",39
3704.13,"S18_1662","giftsbymail.co.uk",27
2804.75,"S18_1662","Danish Wholesale Imports",25
5624.79,"S18_1662","Royale Belge",41
3881.28,"S18_1662","Stylish Desk Decors, Co.",39
1611.4,"S18_1662","Oulu Toy Supplies, Inc.",28
1364.25,"S18_1662","Euro Shopping Channel",25
4215.09,"S18_1662","Reims Collectables",33
6433.82,"S18_1662","The Sharp Gifts Warehouse",34
4352.16,"S18_1662","L'ordine Souveniers",24
5151,"S18_1749","Online Diecast Creations Co.",30
6069,"S18_1749","AV Stores, Co.",42
2856,"S18_1749","Signal Gift Stores",21
5375.4,"S18_1749","Signal Collectibles Ltd.",34
5176.5,"S18_1749","Corporate Gift Ideas Co.",29
3508.8,"S18_1749","Rovelli Gifts",24
7554.8,"S18_1749","Mini Gifts Distributors Ltd.",44
3141.6,"S18_1749","Australian Collectables, Ltd",21
5890.5,"S18_1749","Muscle Machine Inc",33
5967,"S18_1749","Corrida Auto Replicas, Ltd",30
3712.8,"S18_1749","Saveley & Henriot, Co.",26
7597.3,"S18_1749","Mini Caravy",41
3668.6,"S18_1749","Amica Models & Co.",26
5875.2,"S18_1749","Handji Gifts& Co",32
7310,"S18_1749","UK Collectables, Ltd.",43
8078.4,"S18_1749","Mini Gifts Distributors Ltd.",48
3257.76,"S18_1749","Motor Mint Distributors Inc.",44
7650,"S18_1749","Marseille Mini Autos",45
4703.81,"S18_1749","Toys4GrownUps.com",37
5399.55,"S18_1749","Euro Shopping Channel",39
14082.8,"S18_1749","The Sharp Gifts Warehouse",76
5283.6,"S18_1749","Souveniers And Things Co.",37
3130.82,"S18_1889","Cruz & Sons Co.",38
3112.34,"S18_1889","Marseille Mini Autos",43
3806.88,"S18_1889","Mini Gifts Distributors Ltd.",48
2142.14,"S18_1889","Collectables For Less Inc.",26
3364.9,"S18_1889","Men 'R' US Retailers, Ltd.",38
1262.8,"S18_1889","Mini Auto Werke",20
1626.24,"S18_1889","Herkku Gifts",22
4088.7,"S18_1889","Online Diecast Creations Co.",45
3846.15,"S18_1889","Euro Shopping Channel",45
1339.8,"S18_1889","Euro Shopping Channel",20
3039.96,"S18_1889","Vida Sport, Ltd",47
3400.32,"S18_1889","Oulu Toy Supplies, Inc.",46
1930.39,"S18_1889","UK Collectables, Ltd.",23
2464.77,"S18_1889","L'ordine Souveniers",33
2634.94,"S18_1889","Signal Gift Stores",29
3625.16,"S18_1889","Vida Sport, Ltd",44
3788.4,"S18_1889","Blauer See Auto, Co.",41
1832.6,"S18_1889","Toms Spezialitten, Ltd",20
2905.98,"S18_1889","FunGiftIdeas.com",37
2954.81,"S18_1889","Land of Toys Inc.",29
3599.75,"S18_1889","Australian Collectors, Co.",55
3686.54,"S18_1889","Suominen Souveniers",22
2100.56,"S18_1889","Toys of Finland, Co.",31
3881.78,"S18_1889","Scandinavian Gift Ideas",49
4509.12,"S18_1889","Mini Caravy",61
3273.27,"S18_1889","Salzburg Collectables",39
4432.7,"S18_1984","Motor Mint Distributors Inc.",38
4100.99,"S18_1984","Marseille Mini Autos",31
5274.72,"S18_1984","Alpha Cognac",36
4232,"S18_1984","Anna's Decorations, Ltd",25
6145.44,"S18_1984","Heintze Collectables",48
4680.2,"S18_1984","Quebec Home Shopping Network",35
3286.08,"S18_1984","Herkku Gifts",21
7421.3,"S18_1984","Online Diecast Creations Co.",47
6432.64,"S18_1984","Muscle Machine Inc",38
4840.87,"S18_1984","Euro Shopping Channel",41
3892.08,"S18_1984","Collectable Mini Designs Co.",24
5526.32,"S18_1984","Osaka Souveniers Co.",37
4459.62,"S18_1984","UK Collectables, Ltd.",33
6203.4,"S18_1984","L'ordine Souveniers",49
3754.05,"S18_1984","Signal Gift Stores",29
3516.48,"S18_1984","Vida Sport, Ltd",24
7488.04,"S18_1984","Norway Gifts By Mail, Co.",47
3448.08,"S18_1984","Toms Spezialitten, Ltd",24
3734,"S18_1984","FunGiftIdeas.com",25
974.1,"S18_1984","Motor Mint Distributors Inc.",30
3160.74,"S18_1984","Australian Collectors, Co.",22
1746.63,"S18_1984","Lyon Souveniers",27
4207.84,"S18_1984","Royale Belge",34
4352.76,"S18_1984","Toys of Finland, Co.",36
1463.7,"S18_1984","Mini Gifts Distributors Ltd.",34
7169.28,"S18_1984","Danish Wholesale Imports",48
4594.76,"S18_1984","Salzburg Collectables",34
3457.92,"S18_2238","Euro Shopping Channel",24
7381.16,"S18_2238","Classic Legends Inc.",46
7146.9,"S18_2238","Muscle Machine Inc",45
5938.53,"S18_2238","Suominen Souveniers",39
7110.91,"S18_2238","Oulu Toy Supplies, Inc.",43
5032.95,"S18_2238","Dragon Souveniers, Ltd.",29
3667.6,"S18_2238","L'ordine Souveniers",20
7381.16,"S18_2238","Iberia Gift Imports, Corp.",46
5128.11,"S18_2238","Mini Classics",27
7060.24,"S18_2238","Diecast Collectables",44
8448.64,"S18_2238","Signal Collectibles Ltd.",43
7300.51,"S18_2238","Blauer See Auto, Co.",49
6549.2,"S18_2238","Euro Shopping Channel",40
5697.9,"S18_2238","Handji Gifts& Co",30
9169,"S18_2238","Mini Gifts Distributors Ltd.",50
3238.63,"S18_2238","Mini Gifts Distributors Ltd.",23
4554.94,"S18_2238","Land of Toys Inc.",26
3934.44,"S18_2238","Marta's Replicas Co.",27
5776.26,"S18_2238","Heintze Collectables",42
7207.45,"S18_2238","Vitachrome Inc.",47
7460.74,"S18_2238","La Corne D'abondance, Co.",49
6719.54,"S18_2238","Muscle Machine Inc",38
2428,"S18_2238","Euro Shopping Channel",20
2602.25,"S18_2238","Mini Gifts Distributors Ltd.",25
2200,"S18_2238","Mini Gifts Distributors Ltd.",25
6712.93,"S18_2238","Euro Shopping Channel",41
5318.04,"S18_2238","La Rochelle Gifts",28
3390,"S18_2248","Online Diecast Creations Co.",50
1608,"S18_2248","AV Stores, Co.",32
2262.96,"S18_2248","Signal Gift Stores",42
1496.64,"S18_2248","Signal Collectibles Ltd.",24
1879.74,"S18_2248","Corporate Gift Ideas Co.",27
1495.26,"S18_2248","Rovelli Gifts",26
2323.7,"S18_2248","Mini Gifts Distributors Ltd.",38
2491.86,"S18_2248","Australian Collectables, Ltd",42
1643.12,"S18_2248","Muscle Machine Inc",23
1322.16,"S18_2248","Corrida Auto Replicas, Ltd",21
1423.8,"S18_2248","Saveley & Henriot, Co.",28
2397.45,"S18_2248","Mini Caravy",33
1574,"S18_2248","Amica Models & Co.",25
1729,"S18_2248","Handji Gifts& Co",28
2255.84,"S18_2248","Iberia Gift Imports, Corp.",46
1834.5,"S18_2248","Mini Gifts Distributors Ltd.",30
3201.5,"S18_2248","AV Stores, Co.",38
2276.4,"S18_2248","Marseille Mini Autos",40
8884.8,"S18_2248","Toys4GrownUps.com",45
1331.1,"S18_2248","Euro Shopping Channel",27
3051.3,"S18_2248","The Sharp Gifts Warehouse",42
2288.52,"S18_2248","Souveniers And Things Co.",36
3772.61,"S18_2319","Euro Shopping Channel",29
4164.42,"S18_2319","La Corne D'abondance, Co.",39
6295.95,"S18_2319","Muscle Machine Inc",45
6287.66,"S18_2319","Suominen Souveniers",47
5412.54,"S18_2319","Oulu Toy Supplies, Inc.",49
5984.14,"S18_2319","Dragon Souveniers, Ltd.",46
5891.04,"S18_2319","Stylish Desk Decors, Co.",48
5984.14,"S18_2319","Iberia Gift Imports, Corp.",46
3608.15,"S18_2319","Mini Classics",35
5752.54,"S18_2319","Diecast Collectables",43
3765.32,"S18_2319","Mini Gifts Distributors Ltd.",26
2159.96,"S18_2319","Euro Shopping Channel",22
3379.94,"S18_2319","Handji Gifts& Co",34
5093.5,"S18_2319","Mini Gifts Distributors Ltd.",50
5773.44,"S18_2319","Diecast Classics Inc.",48
4528.86,"S18_2319","Land of Toys Inc.",41
4816.08,"S18_2319","Marta's Replicas Co.",36
3416.78,"S18_2319","Canadian Gift Exchange Network",29
1236.84,"S18_2319","Vitachrome Inc.",33
5814.86,"S18_2319","Volvo Model Replicas, Co",46
5223.48,"S18_2319","Muscle Machine Inc",38
728.4,"S18_2319","Euro Shopping Channel",20
3949,"S18_2319","Anna's Decorations, Ltd",22
3843.99,"S18_2319","Euro Shopping Channel",27
5498.08,"S18_2319","Euro Shopping Channel",56
3777.58,"S18_2319","La Rochelle Gifts",38
3782,"S18_2325","Blauer See Auto, Co.",25
3859.68,"S18_2325","AV Stores, Co.",33
4431.84,"S18_2325","Signal Gift Stores",42
4950.33,"S18_2325","Signal Collectibles Ltd.",33
4299.7,"S18_2325","Corporate Gift Ideas Co.",38
4492.83,"S18_2325","Rovelli Gifts",31
2212,"S18_2325","Mini Gifts Distributors Ltd.",20
4642.88,"S18_2325","Australian Collectables, Ltd",44
3206.32,"S18_2325","Muscle Machine Inc",26
3604.23,"S18_2325","Corrida Auto Replicas, Ltd",27
7017.76,"S18_2325","Saveley & Henriot, Co.",46
6154.18,"S18_2325","Diecast Collectables",47
4750.8,"S18_2325","Amica Models & Co.",37
3822.92,"S18_2325","Handji Gifts& Co",31
2440.8,"S18_2325","Auto Assoc. & Cie.",24
4729.36,"S18_2325","Mini Gifts Distributors Ltd.",31
12536.5,"S18_2325","Online Diecast Creations Co.",50
2264.15,"S18_2325","AV Stores, Co.",35
3928.2,"S18_2325","Marseille Mini Autos",30
3630.22,"S18_2325","Lyon Souveniers",29
4196.07,"S18_2325","Toys4GrownUps.com",27
4931.6,"S18_2325","Euro Shopping Channel",40
3068.69,"S18_2325","Mini Gifts Distributors Ltd.",31
785.64,"S18_2325","Handji Gifts& Co",6
4977,"S18_2325","Souveniers And Things Co.",45
1189.98,"S18_2432","Baane Mini Imports",22
3090.15,"S18_2432","La Corne D'abondance, Co.",45
2795.86,"S18_2432","Corrida Auto Replicas, Ltd",43
2851.54,"S18_2432","Technics Stores Inc.",46
2701.92,"S18_2432","Oulu Toy Supplies, Inc.",39
2204.1,"S18_2432","Dragon Souveniers, Ltd.",31
2840.48,"S18_2432","Stylish Desk Decors, Co.",41
2647.04,"S18_2432","Iberia Gift Imports, Corp.",44
3172.05,"S18_2432","Saveley & Henriot, Co.",45
2585.93,"S18_2432","Diecast Collectables",37
2148.3,"S18_2432","Handji Gifts& Co",35
1667.4,"S18_2432","Mini Gifts Distributors Ltd.",28
1859.7,"S18_2432","Euro Shopping Channel",30
1476.6,"S18_2432","Handji Gifts& Co",30
1732,"S18_2432","Mini Gifts Distributors Ltd.",25
1674.17,"S18_2432","Diecast Classics Inc.",29
1500.98,"S18_2432","Scandinavian Gift Ideas",26
2192.68,"S18_2432","Marta's Replicas Co.",41
1797.58,"S18_2432","Canadian Gift Exchange Network",34
2142.35,"S18_2432","Online Diecast Creations Co.",35
2086.92,"S18_2432","Volvo Model Replicas, Co",34
6834.5,"S18_2432","Australian Collectors, Co.",50
2541.59,"S18_2432","Mini Gifts Distributors Ltd.",41
2130.92,"S18_2432","Anna's Decorations, Ltd",22
1701.7,"S18_2432","Corporate Gift Ideas Co.",35
1694,"S18_2432","Anna's Decorations, Ltd",44
2913.53,"S18_2432","Euro Shopping Channel",47
935.18,"S18_2432","La Rochelle Gifts",19
3073.26,"S18_2581","Rovelli Gifts",34
2082.49,"S18_2581","Australian Collectors, Co.",29
3394.23,"S18_2581","Euro Shopping Channel",49
2559.6,"S18_2581","Toys4GrownUps.com",30
1490.16,"S18_2581","Technics Stores Inc.",21
3844,"S18_2581","Osaka Souveniers Co.",50
4724.91,"S18_2581","Australian Collectors, Co.",47
1824.72,"S18_2581","Royal Canadian Collectables, Ltd.",24
2668.68,"S18_2581","The Sharp Gifts Warehouse",27
2843.61,"S18_2581","Gift Depot Inc.",33
3163.65,"S18_2581","La Rochelle Gifts",35
2226.11,"S18_2581","Norway Gifts By Mail, Co.",31
2069.75,"S18_2581","Clover Collections, Co.",25
2235.33,"S18_2581","Mini Classics",27
3116.43,"S18_2581","Diecast Classics Inc.",31
4781.7,"S18_2581","Danish Wholesale Imports",45
2810.7,"S18_2581","Tokyo Collectables, Ltd",27
3515.67,"S18_2581","Gift Ideas Corp.",27
2909.34,"S18_2581","Australian Gift Network, Co",42
1570.17,"S18_2581","Euro Shopping Channel",21
2613.92,"S18_2581","Reims Collectables",34
3193.26,"S18_2581","Tekni Collectables Inc.",42
1482.6,"S18_2581","L'ordine Souveniers",15
2055.23,"S18_2625","Land of Toys Inc.",29
2674.9,"S18_2625","Australian Collectors, Co.",46
1853.4,"S18_2625","Lyon Souveniers",30
1490.1,"S18_2625","Toys4GrownUps.com",30
2162.16,"S18_2625","Corporate Gift Ideas Co.",42
2814.28,"S18_2625","Technics Stores Inc.",46
1605,"S18_2625","Daedalus Designs Imports",25
2093.44,"S18_2625","Herkku Gifts",32
1944.3,"S18_2625","Mini Wheels Co.",30
1986.8,"S18_2625","Osaka Souveniers Co.",40
1695.96,"S18_2625","Australian Collectors, Co.",28
1281.56,"S18_2625","Motor Mint Distributors Inc.",23
1774.22,"S18_2625","Tekni Collectables Inc.",29
1997.5,"S18_2625","Gift Depot Inc.",34
2353.2,"S18_2625","La Rochelle Gifts",37
981.2,"S18_2625","Marta's Replicas Co.",20
1550.72,"S18_2625","Atelier graphique",32
1771.06,"S18_2625","Mini Classics",34
2213.4,"S18_2625","Diecast Classics Inc.",42
5266.04,"S18_2625","Land of Toys Inc.",38
1864.8,"S18_2625","Tokyo Collectables, Ltd",30
1142.41,"S18_2625","Technics Stores Inc.",23
1172.6,"S18_2625","Australian Gift Network, Co",22
6981,"S18_2625","Scandinavian Gift Ideas",39
3064.6,"S18_2625","Auto Canal Petit",55
2202.48,"S18_2625","Euro Shopping Channel",36
3773.38,"S18_2795","Blauer See Auto, Co.",26
5074.39,"S18_2795","AV Stores, Co.",31
6483.46,"S18_2795","Australian Collectors, Co.",34
7956.46,"S18_2795","Souveniers And Things Co.",41
4230.62,"S18_2795","Signal Collectibles Ltd.",23
7209.12,"S18_2795","Corporate Gift Ideas Co.",48
3452.68,"S18_2795","Rovelli Gifts",22
3047.73,"S18_2795","Mini Gifts Distributors Ltd.",21
3675.32,"S18_2795","Australian Collectables, Ltd",22
7492.4,"S18_2795","Euro Shopping Channel",40
9534.5,"S18_2795","Corrida Auto Replicas, Ltd",50
5579.02,"S18_2795","Saveley & Henriot, Co.",29
5950.34,"S18_2795","Euro Shopping Channel",43
3726,"S18_2795","Mini Caravy",24
4455,"S18_2795","Amica Models & Co.",22
8272.34,"S18_2795","Herkku Gifts",43
3577.6,"S18_2795","Auto Assoc. & Cie.",20
3881.25,"S18_2795","Mini Gifts Distributors Ltd.",25
5797.44,"S18_2795","Online Diecast Creations Co.",36
1264.08,"S18_2795","AV Stores, Co.",24
4815.3,"S18_2795","Australian Collectors, Co.",21
4462.2,"S18_2795","Lyon Souveniers",30
3033.28,"S18_2795","Toys4GrownUps.com",32
990.78,"S18_2795","Euro Shopping Channel",21
2030.86,"S18_2795","Mini Gifts Distributors Ltd.",26
5433.75,"S18_2795","Mini Gifts Distributors Ltd.",35
3157.44,"S18_2870","Motor Mint Distributors Inc.",26
5161.2,"S18_2870","Atelier graphique",46
4346.76,"S18_2870","Reims Collectables",37
3528.36,"S18_2870","Anna's Decorations, Ltd",27
3187.8,"S18_2870","Heintze Collectables",23
6023.16,"S18_2870","Gift Depot Inc.",39
3884.76,"S18_2870","Herkku Gifts",27
4965.84,"S18_2870","Online Diecast Creations Co.",38
4169.88,"S18_2870","Muscle Machine Inc",27
4910.4,"S18_2870","Euro Shopping Channel",40
3231.36,"S18_2870","Collectable Mini Designs Co.",24
6853.44,"S18_2870","Mini Caravy",44
5177.04,"S18_2870","UK Collectables, Ltd.",37
2824.8,"S18_2870","L'ordine Souveniers",20
4324.32,"S18_2870","Signal Gift Stores",39
5052.96,"S18_2870","Vida Sport, Ltd",44
3223.44,"S18_2870","Norway Gifts By Mail, Co.",22
5278.68,"S18_2870","Euro Shopping Channel",43
2851.2,"S18_2870","FunGiftIdeas.com",27
1687.4,"S18_2870","Motor Mint Distributors Inc.",26
1308,"S18_2870","Reims Collectables",25
6144.6,"S18_2870","Royale Belge",49
5127.2,"S18_2870","Euro Shopping Channel",29
6386.16,"S18_2870","The Sharp Gifts Warehouse",41
7695.6,"S18_2870","Salzburg Collectables",55
2242.89,"S18_2949","Baane Mini Imports",27
2539.89,"S18_2949","Volvo Model Replicas, Co",23
2795.27,"S18_2949","Corrida Auto Replicas, Ltd",31
5545.76,"S18_2949","Souveniers And Things Co.",46
4285.46,"S18_2949","Dragon Souveniers, Ltd.",47
3329.09,"S18_2949","Classic Legends Inc.",31
5592.22,"S18_2949","Australian Gift Network, Co",46
3298.55,"S18_2949","Classic Gift Ideas, Inc",37
2609.88,"S18_2949","Australian Collectables, Ltd",28
3336.29,"S18_2949","Canadian Gift Exchange Network",37
5510.05,"S18_2949","West Coast Collectables Co.",49
2504.4,"S18_2949","Cambridge Collectables Co.",24
3525.6,"S18_2949","Euro Shopping Channel",30
4407,"S18_2949","The Sharp Gifts Warehouse",50
2983.44,"S18_2949","Souveniers And Things Co.",31
5126.24,"S18_2949","Amica Models & Co.",46
5713.79,"S18_2949","Scandinavian Gift Ideas",47
4613.8,"S18_2949","Auto Assoc. & Cie.",46
3711.1,"S18_2949","Mini Gifts Distributors Ltd.",37
3524.73,"S18_2949","Online Diecast Creations Co.",33
2795.27,"S18_2949","Mini Wheels Co.",31
4814.4,"S18_2949","Australian Collectors, Co.",48
3572.33,"S18_2949","Mini Gifts Distributors Ltd.",41
4581.36,"S18_2949","Collectables For Less Inc.",42
4319.76,"S18_2949","Corporate Gift Ideas Co.",41
1448,"S18_2949","Anna's Decorations, Ltd",32
881.4,"S18_2949","Petit Auto",10
2011.1,"S18_2957","Baane Mini Imports",35
1801.24,"S18_2957","Mini Wheels Co.",28
3390.2,"S18_2957","Corrida Auto Replicas, Ltd",46
1424,"S18_2957","Souveniers And Things Co.",20
1499.1,"S18_2957","Dragon Souveniers, Ltd.",30
3358.08,"S18_2957","Classic Legends Inc.",48
1504.16,"S18_2957","Rovelli Gifts",28
2655.12,"S18_2957","Classic Gift Ideas, Inc",39
1244.16,"S18_2957","Australian Collectables, Ltd",24
1888.88,"S18_2957","Canadian Gift Exchange Network",28
1820.01,"S18_2957","West Coast Collectables Co.",31
2866.95,"S18_2957","Cambridge Collectables Co.",45
1394.16,"S18_2957","Euro Shopping Channel",24
2632.28,"S18_2957","The Sharp Gifts Warehouse",49
2018.56,"S18_2957","Salzburg Collectables",32
2954.53,"S18_2957","Amica Models & Co.",43
1871.83,"S18_2957","Scandinavian Gift Ideas",37
1559.04,"S18_2957","Auto Assoc. & Cie.",24
1880.2,"S18_2957","Mini Gifts Distributors Ltd.",35
1224.67,"S18_2957","Online Diecast Creations Co.",41
2979.08,"S18_2957","AV Stores, Co.",26
2208.64,"S18_2957","Australian Collectors, Co.",34
3458.42,"S18_2957","Mini Gifts Distributors Ltd.",49
1237.88,"S18_2957","Collectables For Less Inc.",28
2723.2,"S18_2957","Corporate Gift Ideas Co.",40
2218.52,"S18_2957","Mini Auto Werke",37
1665.32,"S18_2957","Petit Auto",31
3421.04,"S18_3029","Rovelli Gifts",41
1878.66,"S18_3029","Salzburg Collectables",21
3853.6,"S18_3029","Auto-Moto Classics Inc.",40
3442.64,"S18_3029","Mini Creations Ltd.",46
3482.16,"S18_3029","Toys of Finland, Co.",44
3363.52,"S18_3029","Scandinavian Gift Ideas",46
3350.52,"S18_3029","Alpha Cognac",41
2862.72,"S18_3029","Double Decker Gift Stores, Ltd",32
4036.04,"S18_3029","Enaco Distributors",46
2817.92,"S18_3029","Men 'R' US Retailers, Ltd.",28
4636.38,"S18_3029","Collectable Mini Designs Co.",49
1553.58,"S18_3029","Land of Toys Inc.",21
2697.6,"S18_3029","Euro Shopping Channel",32
3334.04,"S18_3029","Petit Auto",34
2059.26,"S18_3029","Royal Canadian Collectables, Ltd.",21
2023.14,"S18_3029","Bavarian Collectables Imports, Co.",21
2586.64,"S18_3029","Classic Gift Ideas, Inc",31
1987.02,"S18_3029","giftsbymail.co.uk",21
1146.5,"S18_3029","Danish Wholesale Imports",25
2312.24,"S18_3029","Royale Belge",28
2793.71,"S18_3029","Euro Shopping Channel",43
1908.28,"S18_3029","Oulu Toy Supplies, Inc.",22
3441.37,"S18_3029","Euro Shopping Channel",37
2023.28,"S18_3029","Reims Collectables",28
2245.2,"S18_3029","The Sharp Gifts Warehouse",30
3255.12,"S18_3029","Gifts4AllAges.com",44
2539.5,"S18_3136","Baane Mini Imports",25
4818.15,"S18_3136","Mini Wheels Co.",43
2921.7,"S18_3136","Corrida Auto Replicas, Ltd",30
1801.2,"S18_3136","Souveniers And Things Co.",20
2804.36,"S18_3136","Dragon Souveniers, Ltd.",26
4900.8,"S18_3136","Classic Legends Inc.",40
2759.31,"S18_3136","Rovelli Gifts",31
2488.2,"S18_3136","Classic Gift Ideas, Inc",22
2769.89,"S18_3136","Australian Collectables, Ltd",23
3581.4,"S18_3136","Canadian Gift Exchange Network",30
5285.14,"S18_3136","West Coast Collectables Co.",49
3181.53,"S18_3136","Cambridge Collectables Co.",31
3340.51,"S18_3136","Euro Shopping Channel",29
3138.34,"S18_3136","The Sharp Gifts Warehouse",37
4775.08,"S18_3136","Souveniers And Things Co.",38
3006.43,"S18_3136","Amica Models & Co.",29
2866.26,"S18_3136","Scandinavian Gift Ideas",23
2232.62,"S18_3136","Auto Assoc. & Cie.",26
4457.02,"S18_3136","Mini Gifts Distributors Ltd.",38
2257.92,"S18_3136","Online Diecast Creations Co.",48
1592,"S18_3136","AV Stores, Co.",40
4948.2,"S18_3136","Australian Collectors, Co.",45
5160.76,"S18_3136","Mini Gifts Distributors Ltd.",44
1978.62,"S18_3136","Collectables For Less Inc.",21
4288.2,"S18_3136","Corporate Gift Ideas Co.",35
2520.68,"S18_3136","Mini Auto Werke",29
1781.22,"S18_3136","Petit Auto",21
3065.04,"S18_3140","Danish Wholesale Imports",22
3551.34,"S18_3140","Dragon Souveniers, Ltd.",26
5544.02,"S18_3140","Euro Shopping Channel",41
6034.33,"S18_3140","Mini Gifts Distributors Ltd.",47
3641.57,"S18_3140","Euro Shopping Channel",31
6930.74,"S18_3140","FunGiftIdeas.com",43
3675.63,"S18_3140","CAF Imports",23
3442.04,"S18_3140","Mini Creations Ltd.",28
6893.81,"S18_3140","Super Scale Inc.",49
2622.48,"S18_3140","Saveley & Henriot, Co.",24
4417.38,"S18_3140","Petit Auto",33
3606.02,"S18_3140","giftsbymail.co.uk",22
3802.56,"S18_3140","Land of Toys Inc.",32
5026.4,"S18_3140","Petit Auto",40
6695.53,"S18_3140","Mini Gifts Distributors Ltd.",43
2819.28,"S18_3140","Amica Models & Co.",24
3759.04,"S18_3140","AV Stores, Co.",32
2731.8,"S18_3140","Heintze Collectables",20
1658.88,"S18_3140","Baane Mini Imports",24
5778.24,"S18_3140","La Corne D'abondance, Co.",48
5191.12,"S18_3140","Euro Shopping Channel",44
3862.88,"S18_3140","Tokyo Collectables, Ltd",28
1476.48,"S18_3140","Euro Shopping Channel",24
5273.73,"S18_3140","Mini Gifts Distributors Ltd.",33
4872.03,"S18_3140","Gifts4AllAges.com",41
4556.99,"S18_3232","Euro Shopping Channel",23
8257,"S18_3232","Motor Mint Distributors Inc.",46
8209.44,"S18_3232","La Corne D'abondance, Co.",48
3598.5,"S18_3232","Marseille Mini Autos",25
3837.24,"S18_3232","Muscle Machine Inc",22
8331.61,"S18_3232","Alpha Cognac",41
4836.5,"S18_3232","Suominen Souveniers",34
5418.88,"S18_3232","Anna's Decorations, Ltd",32
3734.01,"S18_3232","Oulu Toy Supplies, Inc.",21
3996.4,"S18_3232","Men 'R' US Retailers, Ltd.",20
8754.69,"S18_3232","Dragon Souveniers, Ltd.",47
5481.45,"S18_3232","Quebec Home Shopping Network",39
4419.89,"S18_3232","Stylish Desk Decors, Co.",29
6324.75,"S18_3232","Herkku Gifts",45
4409.72,"S18_3232","Iberia Gift Imports, Corp.",28
3918.46,"S18_3232","Online Diecast Creations Co.",26
7620.5,"S18_3232","Mini Classics",50
8291.04,"S18_3232","Euro Shopping Channel",48
3937.25,"S18_3232","Diecast Collectables",25
5554.4,"S18_3232","Euro Shopping Channel",40
6407.86,"S18_3232","Vida Sport, Ltd",43
4172.52,"S18_3232","Mini Gifts Distributors Ltd.",22
7083.37,"S18_3232","Oulu Toy Supplies, Inc.",47
7132.68,"S18_3232","Euro Shopping Channel",36
6773.6,"S18_3232","UK Collectables, Ltd.",40
3657.69,"S18_3232","Handji Gifts& Co",27
4812.55,"S18_3232","L'ordine Souveniers",29
3928.6,"S18_3232","Mini Gifts Distributors Ltd.",20
6401.22,"S18_3232","Signal Gift Stores",42
4191.25,"S18_3232","Diecast Classics Inc.",25
5852.52,"S18_3232","Vida Sport, Ltd",36
2844.87,"S18_3232","Land of Toys Inc.",21
4011.66,"S18_3232","Norway Gifts By Mail, Co.",23
7455.87,"S18_3232","Marta's Replicas Co.",37
8940.96,"S18_3232","Toms Spezialitten, Ltd",48
4572.25,"S18_3232","Canadian Gift Exchange Network",25
5700.09,"S18_3232","FunGiftIdeas.com",33
3155.49,"S18_3232","Vitachrome Inc.",27
4170.69,"S18_3232","Motor Mint Distributors Inc.",27
2878.8,"S18_3232","Volvo Model Replicas, Co",20
5029.5,"S18_3232","Australian Collectors, Co.",30
7396.8,"S18_3232","Muscle Machine Inc",48
2991.68,"S18_3232","Euro Shopping Channel",32
6275.72,"S18_3232","Royale Belge",34
1534.95,"S18_3232","Anna's Decorations, Ltd",27
7264.53,"S18_3232","Toys of Finland, Co.",39
6869.05,"S18_3232","Euro Shopping Channel",47
3353.02,"S18_3232","Euro Shopping Channel",22
8289.05,"S18_3232","Mini Caravy",55
11887.8,"S18_3232","Euro Shopping Channel",60
5926.9,"S18_3232","Salzburg Collectables",35
3793.16,"S18_3232","La Rochelle Gifts",28
